"dataset","celltype_use","n_weeks","rho","p_value","p_adj","trend_sig","metric"
"STARmap","unknown2",2,NA,NA,NA,"NS","score_Cytotoxic_NK_mean"
"STARmap","unknown3",2,NA,NA,NA,"NS","score_Cytotoxic_NK_mean"
"STARmap","vCTB2",2,NA,NA,NA,"NS","score_Cytotoxic_NK_mean"
"STARmap","vCTBp",2,NA,NA,NA,"NS","score_Cytotoxic_NK_mean"
"Multiome","EVT1",6,0.828571428571429,0.0415626822157434,0.12468804664723,"NS","score_Ethanolamine_Metabolism_mean"
"Multiome","EVT2",6,0.142857142857143,0.787172011661808,0.858733103631063,"NS","score_Ethanolamine_Metabolism_mean"
"Multiome","EVT3",6,0.714285714285714,0.110787172011662,0.265889212827988,"NS","score_Ethanolamine_Metabolism_mean"
"Multiome","Endothelial_cells",6,0.0857142857142857,0.871743440233236,0.909645328939029,"NS","score_Ethanolamine_Metabolism_mean"
"Multiome","Fibroblast1",6,0.485714285714286,0.328723032069971,0.563525197834236,"NS","score_Ethanolamine_Metabolism_mean"
"Multiome","Fibroblast2",6,0.542857142857143,0.265702623906705,0.531405247813411,"NS","score_Ethanolamine_Metabolism_mean"
"Multiome","Hofbauer cells",6,0.485714285714286,0.328723032069971,0.563525197834236,"NS","score_Ethanolamine_Metabolism_mean"
"Multiome","Maternal fibroblast",6,0.371428571428571,0.468478134110787,0.74956501457726,"NS","score_Ethanolamine_Metabolism_mean"
"Multiome","STB",6,0.885714285714286,0.0188454810495627,0.0753819241982506,"NS","score_Ethanolamine_Metabolism_mean"
"Multiome","maternal macrophages",6,-0.0285714285714286,0.957154518950437,0.957154518950437,"NS","score_Ethanolamine_Metabolism_mean"
"Multiome","myeloid_unknown",2,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
"Multiome","unknown1",1,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
"Multiome","unknown2",6,0.771428571428571,0.0723965014577259,0.193057337220603,"NS","score_Ethanolamine_Metabolism_mean"
"Multiome","vCTB1",4,0.8,0.2,0.436363636363636,"NS","score_Ethanolamine_Metabolism_mean"
"Multiome","vCTB2",6,0.885714285714286,0.0188454810495627,0.0753819241982506,"NS","score_Ethanolamine_Metabolism_mean"
"Multiome","vCTB3",6,0.885714285714286,0.0188454810495627,0.0753819241982506,"NS","score_Ethanolamine_Metabolism_mean"
"Multiome","vCTBp",6,0.828571428571429,0.0415626822157434,0.12468804664723,"NS","score_Ethanolamine_Metabolism_mean"
"STARmap","EVT2",2,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
"STARmap","EVT3",2,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
"STARmap","Endothelial_cells",2,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
"STARmap","Fibroblast1",2,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
"STARmap","Fibroblast2",2,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
"STARmap","Hofbauer cells",2,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
"STARmap","STB",2,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
"STARmap","maternal macrophages",2,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
"STARmap","unknown2",2,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
"STARmap","unknown3",2,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
"STARmap","vCTB2",2,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
"STARmap","vCTBp",2,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
"Slide-tags","EVT",2,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
"Slide-tags","EVT-progenitor",3,0.5,0.666666666666667,0.761904761904762,"NS","score_Ethanolamine_Metabolism_mean"
"Slide-tags","EVT3",2,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
"Slide-tags","Endothelial",3,-0.5,0.666666666666667,0.761904761904762,"NS","score_Ethanolamine_Metabolism_mean"
"Slide-tags","Erythroblasts",3,-0.5,0.666666666666667,0.761904761904762,"NS","score_Ethanolamine_Metabolism_mean"
"Slide-tags","FIB1",3,-1,0,0,"FDR<0.05","score_Ethanolamine_Metabolism_mean"
"Slide-tags","FIB2",3,-0.5,0.666666666666667,0.761904761904762,"NS","score_Ethanolamine_Metabolism_mean"
"Slide-tags","Hofbauer cells",3,-0.5,0.666666666666667,0.761904761904762,"NS","score_Ethanolamine_Metabolism_mean"
"Slide-tags","STB",3,-0.5,0.666666666666667,0.761904761904762,"NS","score_Ethanolamine_Metabolism_mean"
"Slide-tags","STB-progenitor",3,-1,0,0,"FDR<0.05","score_Ethanolamine_Metabolism_mean"
"Slide-tags","vCTB",3,-1,0,0,"FDR<0.05","score_Ethanolamine_Metabolism_mean"
"Slide-tags","vCTB1",1,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
"Slide-tags","vCTB2",1,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
"Slide-tags","vCTBp",1,NA,NA,NA,"NS","score_Ethanolamine_Metabolism_mean"
